    121.64   4943.83  -4992.29   5056.86   4943.87   5056.89   4962.14   5037.98    161.45   4999.60    161.45    178.95    175.88    178.95    175.88   5089.38   5226.15   5125.16   5196.27   5160.43   5160.56   5160.43   5160.56   5161.01   5160.75   5161.01   5160.75   5291.96   5000.06   5000.00   5000.46  0.5265E-03  0.9142E-07  0.3268E-03  0.2823E-08     0.39508    126.95  0.1026E-32  0.2559E-29  0.4045E-30  0.0000E+00
    133.16   4944.15  -4992.97   5057.23   4944.19   5057.26   4964.10   5036.04    137.49   4999.60    137.49    157.68    156.47    157.68    156.47   5089.71   5226.75   5126.54   5194.92   5160.43   5160.56   5160.43   5160.56   5161.01   5160.75   5161.01   5160.75   5291.96   5000.06   5000.00   5000.45  0.5514E-03  0.1375E-06  0.3269E-03  0.2840E-08     0.05873    126.70  0.1095E-32  0.5502E-29  0.9196E-30  0.0000E+00
    114.33   4942.45  -5000.49   5062.96   4942.45   5062.95   4992.85   5007.53    104.97   4999.61    104.97    129.85    151.93    129.85    151.93   5100.94   5232.39   5152.09   5169.70   5160.46   5160.59   5160.46   5160.59   5161.03   5160.78   5161.03   5160.78   5292.04   5000.14   5000.00   5001.02  0.9575E-03  0.2705E-07  0.3269E-03  0.2968E-08     0.01472    122.39  0.3277E-24  0.5164E-29  0.4261E-30  0.0000E+00
    116.86   4945.54  -4997.13   5059.41   4945.57   5059.44   4977.11   5023.19    147.63   4999.60    147.63    166.58    165.85    166.58    165.85   5092.33   5230.38   5136.69   5184.94   5160.44   5160.57   5160.44   5160.57   5161.02   5160.76   5161.02   5160.76   5292.00   5000.06   5000.00   5000.91  0.7234E-03  0.5913E-07  0.3269E-03  0.2925E-08     0.34824    125.13  0.6310E-33  0.3047E-29  0.4531E-30  0.0000E+00
    143.34   4945.63  -4997.99   5059.95   4945.65   5059.98   4980.17   5020.14    151.74   4999.60    151.74    170.21    164.33    170.21    164.33   5093.17   5231.12   5139.39   5182.28   5160.45   5160.57   5160.45   5160.57   5161.02   5160.77   5161.02   5160.77   5292.01   5000.07   5000.00   5000.94  0.7658E-03  0.4445E-07  0.3269E-03  0.2938E-08     0.11660    124.79  0.6902E-33  0.5238E-29  0.9860E-30  0.0000E+00
    130.31   4943.56  -4991.63   5056.62   4943.60   5056.65   4960.24   5039.84    120.52   4999.60    120.52    143.13    142.62    143.13    142.62   5089.07   5225.59   5123.85   5197.55   5160.43   5160.56   5160.43   5160.56   5161.00   5160.75   5161.00   5160.75   5291.95   5000.06   5000.00   5000.46  0.5031E-03  0.0000E+00  0.3268E-03  0.2805E-08     0.01461    127.23  0.3530E-24  0.8397E-29  0.1351E-29  0.0000E+00
    126.86   4943.69  -4991.96   5056.74   4943.73   5056.77   4961.18   5038.92    139.85   4999.60    139.85    159.74    161.12    159.74    161.12   5089.23   5225.87   5124.50   5196.92   5160.43   5160.56   5160.43   5160.56   5161.01   5160.75   5161.01   5160.75   5291.95   5000.06   5000.00   5000.46  0.5147E-03  0.1531E-06  0.3268E-03  0.2814E-08     0.19885    127.09  0.1105E-32  0.4266E-29  0.6579E-30  0.0000E+00
    143.32   4941.94  -4988.45   5055.08   4941.98   5055.11   4951.34   5048.59    176.86   4999.60    176.86    192.96    200.14    192.96    200.14   5087.71   5222.78   5118.14   5203.13   5160.42   5160.55   5160.42   5160.55   5161.00   5160.74   5161.00   5160.74   5291.92   5000.06   5000.00   5000.48  0.3986E-03  0.8210E-07  0.3268E-03  0.2711E-08     0.48882    128.53  0.1600E-32  0.2241E-29  0.3385E-30  0.0000E+00
    149.69   4942.03  -4988.62   5055.16   4942.07   5055.19   4951.80   5048.13    172.16   4999.60    172.16    188.67    199.20    188.67    199.20   5087.78   5222.93   5118.43   5202.86   5160.42   5160.55   5160.42   5160.55   5161.00   5160.74   5161.00   5160.74   5291.92   5000.06   5000.00   5000.48  0.4038E-03  0.8354E-07  0.3268E-03  0.2717E-08     0.40710    128.46  0.1687E-32  0.2585E-29  0.3777E-30  0.0000E+00
    111.95   4943.94  -5000.25   5062.19   4943.94   5062.19   4990.53   5009.85    125.65   4999.61    125.65    147.24    149.09    147.24    149.09   5098.34   5232.53   5149.54   5172.23   5160.46   5160.58   5160.46   5160.58   5161.03   5160.77   5161.03   5160.77   5292.03   5000.11   5000.00   5001.01  0.9145E-03  0.3153E-07  0.3269E-03  0.2965E-08     0.20248    123.19  0.3170E-33  0.4500E-29  0.6219E-30  0.0000E+00
    114.99   4933.44  -4999.44   5065.48   4933.36   5065.42   4997.43   5002.92    129.60   4999.64    129.60    148.70    155.32    148.70    155.32   5114.25   5229.41   5157.45   5164.34   5160.49   5160.61   5160.49   5160.61   5161.01   5160.78   5161.01   5160.78   5292.04   5000.43   5000.00   5001.06  0.1106E-02  0.8147E-08  0.3269E-03  0.2971E-08     0.22491    116.49  0.1352E-32  0.4232E-29  0.5512E-30  0.0000E+00
    123.40   4945.17  -4995.67   5058.58   4945.21   5058.61   4972.31   5027.93    151.99   4999.60    151.99    170.46    171.03    170.46    171.03   5091.24   5229.12   5132.73   5188.84   5160.44   5160.57   5160.44   5160.57   5161.02   5160.76   5161.02   5160.76   5291.99   5000.06   5000.00   5000.76  0.6586E-03  0.6679E-07  0.3269E-03  0.2899E-08     0.36400    125.68  0.7900E-33  0.3043E-29  0.4635E-30  0.0000E+00
    115.22   4945.20  -4999.52   5061.23   4945.22   5061.25   4986.43   5013.93    107.18   4999.60    107.18    131.98    136.06    131.98    136.06   5095.58   5232.35   5145.30   5176.43   5160.45   5160.58   5160.45   5160.58   5161.03   5160.77   5161.03   5160.77   5292.02   5000.08   5000.00   5000.98  0.8558E-03  0.6141E-07  0.3269E-03  0.2958E-08     0.01480    123.99  0.3302E-24  0.7557E-29  0.1010E-29  0.0000E+00
    146.53   4944.95  -4995.01   5058.21   4944.98   5058.24   4970.25   5029.97    160.36   4999.60    160.36    177.96    188.99    177.96    188.99   5090.83   5228.54   5131.11   5190.44   5160.44   5160.56   5160.44   5160.56   5161.01   5160.76   5161.01   5160.76   5291.98   5000.06   5000.00   5000.71  0.6311E-03  0.5343E-07  0.3269E-03  0.2886E-08     0.23408    125.92  0.1036E-32  0.3133E-29  0.4452E-30  0.0000E+00
    130.59   4944.94  -4995.00   5058.20   4944.97   5058.23   4970.20   5030.02    160.18   4999.60    160.18    177.80    186.80    177.80    186.80   5090.81   5228.52   5131.07   5190.47   5160.44   5160.56   5160.44   5160.56   5161.01   5160.76   5161.01   5160.76   5291.98   5000.06   5000.00   5000.71  0.6304E-03  0.5746E-07  0.3269E-03  0.2886E-08     0.42337    125.92  0.9016E-33  0.2470E-29  0.3405E-30  0.0000E+00
